"","","Police Department","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Eric L. Adams","","City of New York","","","","","","","","","","Edward A. Caban",""
"Mayor","","","","","","","","","","","","Police Commissioner",""
"Volume 31   Number  7","","CompStat","","","","","","","","","","Citywide",""
"","","Report Covering the Week  2/12/2024  Through  2/18/2024","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Crime Complaints","","","","","","","","","","","","",""
"","","Week to Date","","","      28 Day","","","      Year to Date*","","","     2 Year   ","14 Year (2010)","31 Year (1993)"
" ","","2024","2023","% Chg","2024","2023","% Chg","2024","2023","% Chg","% Chg","% Chg","% Chg"
"Murder","","3","6","-50.0","22","28","-21.4","42","55","-23.6","-23.6","-20.8","-84.6"
"Rape","","29","37","-21.6","104","114","-8.8","171","214","-20.1","-20.1","13.2","-57.7"
"Robbery","","272","322","-15.5","1,214","1,169","3.8","2,182","2,082","4.8","6.2","-11.5","-81.2"
"Fel. Assault","","536","499","7.4","1,957","1,875","4.4","3,372","3,347","0.7","14.4","75.9","-27.0"
"Burglary","","251","287","-12.5","971","1,113","-12.8","1,686","2,023","-16.7","-16.0","-32.2","-87.7"
"Gr. Larceny","","765","869","-12.0","3,701","3,612","2.5","6,314","6,378","-1.0","-4.4","37.0","-39.2"
"G.L.A.","","246","270","-8.9","1,009","1,123","-10.2","1,803","1,941","-7.1","-3.6","41.7","-88.5"
"TOTAL","","2,102","2,290","-8.21","8,978","9,034","-0.62","15,570","16,040","-2.93","-1.17","20.19","-72.53"
"Transit","","52","51","2.0","175","169","3.6","317","268","18.3","0.0","13.6","***.*"
"Housing","","114","109","4.6","425","446","-4.7","760","792","-4.0","1.7","55.1","***.*"
"Petit Larceny","","1,995","2,048","-2.6","8,329","8,173","1.9","14,076","14,124","-0.3","7.5","43.3","***.*"
"Misd. Assault","","870","764","13.9","3,357","3,045","10.2","5,609","5,247","6.9","17.0","4.7","***.*"
"UCR Rape*","","47","56","-16.1","171","191","-10.5","296","340","-12.9","-11.1","***.*","***.*"
"Other Sex Crimes","","83","81","2.5","375","343","9.3","621","626","-0.8","7.1","***.*","***.*"
"Shooting Vic.","","16","18","-11.1","67","80","-16.3","121","148","-18.2","-28.8","-20.9","-83.6"
"Shooting Inc.","","9","16","-43.8","54","66","-18.2","99","122","-18.9","-34.4","-27.2","-85.5"
"Hate Crimes","","2","9","-77.8","31","32","-3.1","55","57","-3.5","-41.5","***.*","***.*"
"","","","","","","","","","","","","",""
"Historical Perspective","","","","","","","","","","","","",""
"(Historical perspective is a complete calendar year of data.)","","","","","","","","","","","","",""
"",""," ",""," ",""," ",""," "," ","%Chg  ","%Chg  ","%Chg  ","%Chg  "
"","","1990","","1993","","1998","","2001","2023","'23 vs '01","'23 vs '98","'23 vs '93","'23 vs '90"
"Murder","","2,262","","1,927","","629","","649","391","-39.8","-37.8","-79.7","-82.7"
"Rape","","3,126","","3,225","","2,476","","1,930","1,455","-24.6","-41.2","-54.9","-53.5"
"Robbery","","100,280","","85,892","","39,003","","27,873","16,910","-39.3","-56.6","-80.3","-83.1"
"Fel. Assault","","44,122","","41,121","","28,848","","23,020","27,876","21.1","-3.4","-32.2","-36.8"
"Burglary","","122,055","","100,936","","47,181","","32,694","13,773","-57.9","-70.8","-86.4","-88.7"
"Gr. Larceny","","108,487","","85,737","","51,461","","46,291","50,586","9.3","-1.7","-41.0","-53.4"
"G.L.A.","","146,925","","111,622","","43,315","","29,607","15,795","-46.7","-63.5","-85.8","-89.2"
"TOTAL","","527,257","","430,460","","212,913","","162,064","126,786","-21.8","-40.5","-70.5","-76.0"
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Figures are preliminary and subject to further analysis and revision.","","","","","","","","","","","","",""
"As of January 2013, complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the ","","","","","","","","","","","","",""
"borough and precinct crime totals and are displayed separately on the Department of Correction CompStat page.","","","","","","","","","","","","",""
"Unless otherwise noted, Crime statistics reflect New York State Penal Law (""NYSPL"") definitions and differ from the crime categories used ","","","","","","","","","","","","",""
"by the FBI Uniform Crime Reporting Program. All Crime statistics are translated to Uniform Crime Reporting categories for submission to ","","","","","","","","","","","","",""
"the UCR Program.","","","","","","","","","","","","",""
"* Uniform Crime Reporting (""UCR"") Rape consists of all crimes defined in the FBI UCR definition of rape.","","","","","","","","","","","","",""
"Prepared by","","","","","","","","","","CompStat","","",""
"NYPD CompStat Unit","","","","","","","","","","","","",""
